model,tom_dimension,n,n_correct,accuracy
openai-api/local/qwen/qwen1.5-14b-chat,White Lies / Prosocial Deception,15,7,0.4666666666666667
openai-api/local/qwen/qwen1.5-7b-chat,Diverse Beliefs,15,14,0.9333333333333333
openai-api/local/qwen/qwen1.5-7b-chat,Diverse Desires,15,15,1.0
openai-api/local/qwen/qwen1.5-7b-chat,Emotion Recognition,17,16,0.9411764705882353
openai-api/local/qwen/qwen1.5-7b-chat,Faux Pas Detection,15,6,0.4
openai-api/local/qwen/qwen1.5-7b-chat,First-Order False Belief,17,8,0.47058823529411764
openai-api/local/qwen/qwen1.5-7b-chat,Hidden Emotion (Appearance vs. Reality),15,11,0.7333333333333333
openai-api/local/qwen/qwen1.5-7b-chat,Intention vs. Accident,15,10,0.6666666666666666
openai-api/local/qwen/qwen1.5-7b-chat,Irony,15,11,0.7333333333333333
openai-api/local/qwen/qwen1.5-7b-chat,Knowledge Access / Ignorance,15,9,0.6
openai-api/local/qwen/qwen1.5-7b-chat,Sarcasm,15,11,0.7333333333333333
openai-api/local/qwen/qwen1.5-7b-chat,Second-Order False Belief,15,4,0.26666666666666666
openai-api/local/qwen/qwen1.5-7b-chat,White Lies / Prosocial Deception,15,10,0.6666666666666666
openai-api/local/qwen/qwen2-72b-instruct,Diverse Beliefs,15,14,0.9333333333333333
openai-api/local/qwen/qwen2-72b-instruct,Diverse Desires,15,15,1.0
openai-api/local/qwen/qwen2-72b-instruct,Emotion Recognition,17,17,1.0
openai-api/local/qwen/qwen2-72b-instruct,Faux Pas Detection,15,14,0.9333333333333333
openai-api/local/qwen/qwen2-72b-instruct,First-Order False Belief,17,16,0.9411764705882353
openai-api/local/qwen/qwen2-72b-instruct,Hidden Emotion (Appearance vs. Reality),15,14,0.9333333333333333
openai-api/local/qwen/qwen2-72b-instruct,Intention vs. Accident,15,15,1.0
openai-api/local/qwen/qwen2-72b-instruct,Irony,15,15,1.0
openai-api/local/qwen/qwen2-72b-instruct,Knowledge Access / Ignorance,15,14,0.9333333333333333
openai-api/local/qwen/qwen2-72b-instruct,Sarcasm,15,15,1.0
openai-api/local/qwen/qwen2-72b-instruct,Second-Order False Belief,15,14,0.9333333333333333
openai-api/local/qwen/qwen2-72b-instruct,White Lies / Prosocial Deception,15,15,1.0
openai-api/local/qwen/qwen2-7b-instruct,Diverse Beliefs,15,15,1.0
openai-api/local/qwen/qwen2-7b-instruct,Diverse Desires,15,15,1.0
openai-api/local/qwen/qwen2-7b-instruct,Emotion Recognition,17,16,0.9411764705882353
openai-api/local/qwen/qwen2-7b-instruct,Faux Pas Detection,15,14,0.9333333333333333
openai-api/local/qwen/qwen2-7b-instruct,First-Order False Belief,17,13,0.7647058823529411
openai-api/local/qwen/qwen2-7b-instruct,Hidden Emotion (Appearance vs. Reality),15,14,0.9333333333333333
openai-api/local/qwen/qwen2-7b-instruct,Intention vs. Accident,15,13,0.8666666666666667
openai-api/local/qwen/qwen2-7b-instruct,Irony,15,14,0.9333333333333333
openai-api/local/qwen/qwen2-7b-instruct,Knowledge Access / Ignorance,15,14,0.9333333333333333
openai-api/local/qwen/qwen2-7b-instruct,Sarcasm,15,13,0.8666666666666667
openai-api/local/qwen/qwen2-7b-instruct,Second-Order False Belief,15,12,0.8
openai-api/local/qwen/qwen2-7b-instruct,White Lies / Prosocial Deception,15,12,0.8
openai-api/local/qwen/qwen2.5-72b-instruct,Diverse Beliefs,15,15,1.0
openai-api/local/qwen/qwen2.5-72b-instruct,Diverse Desires,15,14,0.9333333333333333
openai-api/local/qwen/qwen2.5-72b-instruct,Emotion Recognition,17,17,1.0
openai-api/local/qwen/qwen2.5-72b-instruct,Faux Pas Detection,15,12,0.8
openai-api/local/qwen/qwen2.5-72b-instruct,First-Order False Belief,17,17,1.0
openai-api/local/qwen/qwen2.5-72b-instruct,Hidden Emotion (Appearance vs. Reality),15,15,1.0
openai-api/local/qwen/qwen2.5-72b-instruct,Intention vs. Accident,15,14,0.9333333333333333
openai-api/local/qwen/qwen2.5-72b-instruct,Irony,15,15,1.0
openai-api/local/qwen/qwen2.5-72b-instruct,Knowledge Access / Ignorance,15,14,0.9333333333333333
openai-api/local/qwen/qwen2.5-72b-instruct,Sarcasm,15,14,0.9333333333333333
openai-api/local/qwen/qwen2.5-72b-instruct,Second-Order False Belief,15,13,0.8666666666666667
openai-api/local/qwen/qwen2.5-72b-instruct,White Lies / Prosocial Deception,15,14,0.9333333333333333
openai-api/local/qwen/qwen2.5-7b-instruct,Diverse Beliefs,15,14,0.9333333333333333
openai-api/local/qwen/qwen2.5-7b-instruct,Diverse Desires,15,13,0.8666666666666667
openai-api/local/qwen/qwen2.5-7b-instruct,Emotion Recognition,17,16,0.9411764705882353
openai-api/local/qwen/qwen2.5-7b-instruct,Faux Pas Detection,15,12,0.8
